Stage,Company Name,Address 1,City/State,Postal/Zip,Country,Email/WWW Address,Email,Date Added,Phone,Stock Symbol
,"Perception Neuroscience, Inc.","524 Broadway, 11th Floor","New York, NY",10012,United States of America,https://www.perceptionns.com/,,7/16/2024 9:22,,NONE
,Solera Health,1018 W. Roosevelt St,"Phoenix, AZ",85007,United States of America,http://www.soleranetwork.com,,7/16/2024 9:22,(800) 858-1714,NONE
,Benuvia Manufacturing,3950 N. Mays Street,"Round Rock, TX",78665,United States of America,https://benuviamanufacturing.com/,,7/16/2024 9:22,,NONE
,Nova Discovery,1 Place Verrazzano,", Lyon",,France,https://www.novadiscovery.com/,,7/16/2024 9:22,+33 9 72 53 13 00,NONE
,"Ocuphire Pharma, Inc.",6894 Lakemont Circle,"West Bloomfield, MI",48323,United States of America,https://www.ocuphire.com/,,7/16/2024 9:22,(248) 681-9815,
,Validant,"388 Market Street, Suite 860","San Francisco, CA",94111,United States of America,www.validant.com,,7/16/2024 9:22,(415) 400-2600,NONE
,EnClear Therapies,700 Main Street,"Cambridge, MA",2139,United States of America,https://www.encleartherapies.com/,,7/16/2024 9:22,,NONE
,Hansoh Pharma,,", ",,China,http://www.hspharm.com/,,7/16/2024 9:22,,3692.HK
,Altasciences,"575, Armand-Frappier Blvd","Laval, QC",H7V 4B3,Canada,http://www.altasciences.com/,,7/16/2024 9:22,(450) 973-6077,NONE
,Cartography Biosciences,930 Brittan Ave,"San Carlos, CA",94070,United States of America,https://www.cartography.bio/,,7/16/2024 9:22,,NONE
,Menlo Ventures,2884 Sand Hill Rd Suite 100,"Menlo Park, CA",94025,United States of America,https://www.menlovc.com,,7/16/2024 9:22,(650) 854-8540,NONE
,"Mustang Bio, Inc.",377 Plantation Street,"Worcester, MA",1605,United States of America,http://www.mustangbio.com/,,7/16/2024 9:22,(781) 652-4500,MBIO
,Calico Life Sciences LLC,1170 Veterans Blvd,"South San Francisco, CA",94080,United States of America,http://www.calicolabs.com/,,7/16/2024 9:22,,NONE
,Northpond Ventures,"7500 Old Georgetown Road, Suite 850","Bethesda, MD",20810,United States of America,https://www.northpondventures.com/,,7/16/2024 9:22,,
,Unlearn,"450 Geary Street, STE 200","San Francisco, CA",94102,United States of America,https://www.unlearn.health/,,7/16/2024 9:22,,NONE
,Datacubed Health,"384 Bridge Street, 4th Floor","Brooklyn, NY",11201,United States of America,https://www.datacubed.com/,,7/16/2024 9:22,(646) 585-4750,NONE
,Archean Biologics,180 Varick St.,"NY, NY",10014,United States of America,https://www.archeanbio.com,,7/16/2024 9:22,,NONE
,Alveo Technologies,1000 Atlantic Avenue  Suite 114,"Alameda, CA",94501,United States of America,https://alveotechnologies.com/,,7/16/2024 9:22,(510) 749-4895,NONE
,Sutter Health,2200 River Plaza Drive,"Sacramento, CA",95833,United States of America,https://www.sutterhealth.org/,,7/16/2024 9:22,(916) 733-8800,
,Addition Therapeutics,,", CA",,United States of America,,,7/16/2024 9:22,,
,"Outcome Health (previously ContextMedia, Inc.)","330 N Wabash Ave, STE 2500","New York, NY",10018,United States of America,www.outcomehealth.com,,7/16/2024 9:22,(800) 491-6972,NONE
